Name;Gender;Email;Methodologies;Topics
Hillary Hofman;F;hh@fakemail.com;Mathematics, Molecular Dynamics;Viruses, Security
Marica Bross;F;mb@fakemail.com;Molecular Dynamics, Statistics;Virtual Reality, Protein
Bobby Plascencia;M;bp@fakemail.com;Force Fields, Python;Virtual Reality, Viruses
Virgil Lebel;M;vl@fakemail.com;Bioinformatics, Quantum Mechanics;DNA, Methods Development
Danuta Voegele;F;dv@fakemail.com;Force Fields, Java;DNA, Protein
Shana Galey;F;sg@fakemail.com;Numerical Algorithms, Basis Sets;Viruses, Methods Development
Rosita Cornejo;F;rc@fakemail.com;Java, Numerical Algorithms;Methods Development, Virtual Reality
Tiffiny Bradfield;F;tb@fakemail.com;Raman, Bioinformatics;DNA, Methods Development
Devon Cyr;M;dc@fakemail.com;Machine Learning, X-ray;Carbohydrates, Virtual Reality
Frank Hellickson;M;fh@fakemail.com;Molecular Dynamics, Python;Carbohydrates, Viruses
